Cluster,PRCP_AVG,SNOW_AVG,TAVG_AVG,TMAX_AVG,TMIN_AVG,PRCP_MAX,SNOW_MAX,TAVG_MAX,TMAX_MAX,TMIN_MAX,PRCP_MIN,SNOW_MIN,TAVG_MIN,TMAX_MIN,TMIN_MIN,PRCP_CNT,SNOW_CNT,PRCP_CHG,SNOW_CHG,TMAX_CHG,TMIN_CHG,TAVG_CHG,PRCP_AVG_old,SNOW_AVG_old,TAVG_AVG_old,TMAX_AVG_old,TMIN_AVG_old,PRCP_MAX_old,SNOW_MAX_old,TAVG_MAX_old,TMAX_MAX_old,TMIN_MAX_old,PRCP_MIN_old,SNOW_MIN_old,TAVG_MIN_old,TMAX_MIN_old,TMIN_MIN_old,PRCP_CHG_old,SNOW_CHG_old,TMAX_CHG_old,TMIN_CHG_old,TAVG_CHG_old,PRCP_CNT_old,SNOW_CNT_old,PRCP_max_yoy,SNOW_max_yoy,TMAX_max_yoy,TMIN_max_yoy,TAVG_max_yoy,PRCP_min_yoy,SNOW_min_yoy,TMAX_min_yoy,TMIN_min_yoy,TAVG_min_yoy,PRCP_CNT_yoy,SNOW_CNT_yoy,PRCP_CHG_yoy,SNOW_CHG_yoy,TMAX_CHG_yoy,TMIN_CHG_yoy,TAVG_CHG_yoy
0,10.907070031083313,2.099049044102745,95.32101439709197,194.24192996325073,38.17845766033525,285.1040198333333,167.23705186,960.4969717333333,457.8703035333333,315.17368430000005,0.0,0.0,-134.07994152333333,-33.184202713333335,-182.58119893333333,3400.6666666666665,1270.0,285.1040198333333,167.23705186,491.0545062466667,497.7548832333334,1094.5769132566668,11.324413539419936,2.5538008235091283,77.71813907468284,188.2778483106233,33.86068818260051,306.3742706666667,168.0895119,641.0135394333333,356.11218733333334,253.6273998,0.0,0.0,-189.9333495,-86.19456343833333,-227.3403376,306.3742706666667,168.0895119,442.30675077166666,480.9677374,830.9468889333334,3338.3333333333335,1204.6666666666667,-21.270250833333353,-0.8524600399999827,101.75811619999998,61.546284500000006,319.48343229999995,0.0,0.0,53.010360725,44.75913866666668,55.85340797666667,62.333333333333336,65.33333333333333,-21.270250833333353,-0.8524600399999827,48.747755474999984,16.78714583333334,263.6300243233333
1,31.390937423148493,1.7561738013523531,133.75228455251425,191.52612160314627,72.49929019197144,616.2420733999999,151.0907755125238,340.49314869047623,373.41755358571424,240.01920428571424,0.0,-0.012765940571428573,-127.26300612904762,-78.13912911385714,-179.99219927904764,3252.714285714286,671.0,616.2420733999999,151.10354145309526,451.55668269957147,420.01140356476196,467.75615481952383,33.87278387578691,2.08016475730931,136.57694400865535,192.98767953840277,75.7126797433019,916.0387962428571,224.17368073109523,309.96730319766976,379.21952711428565,241.31963345714286,0.0,0.0,-144.4441497381763,-96.9233604009524,-205.55720760904765,916.0387962428571,224.17368073109523,476.142887515238,446.87684106619037,454.411452935846,3324.5714285714284,638.047619047619,-299.7967228428572,-73.08290521857143,-5.8019735285714304,-1.300429171428568,37.25673369300911,0.0,-0.012765940571428573,18.78423128709524,25.565008330000005,18.35933940292806,-71.85714285714286,32.95238095238095,-299.7967228428572,-73.070139278,-24.586204815666665,-26.86543750142858,18.89739429008105
2,26.638873055188476,2.436377877810741,95.97059471502554,160.91251190317774,38.980591692679994,573.037587937037,155.57487458740738,316.01107983837034,357.6750973960741,216.669224804,0.0008417508518518518,-0.004629629629629629,-167.55087521585924,-109.33470151025631,-218.22865206639256,3253.0,1051.7407407407406,573.0367461861852,155.579504217037,467.00979890633033,434.89787687039257,483.5619550542297,28.464280385849786,2.869953644174305,97.5038861439474,160.71262144555962,42.213320365005075,532.4241948028149,172.83723549708373,280.8633334463357,355.74767398696287,210.99767865977773,0.0010303030200000001,0.0,-171.1863579519149,-115.39284264161113,-224.24285024554078,532.4231644997949,172.83723549708373,471.1405166285742,435.2405289053185,452.04969139825045,3406.320740740741,1055.911111111111,6.533697189925943,-17.851146794711106,1.9274234091111166,5.671546144222225,38.358701416784875,-0.00017171715111111128,-0.00492080352,6.058141131354815,6.014198179148144,6.554679742277393,-42.950370370370365,25.666666666666668,6.533868907077052,-17.84622599119111,-4.130717722243703,-0.3426520349259187,31.80402167450748
