Cluster,PRCP_AVG_old,SNOW_AVG_old,TAVG_AVG_old,TMAX_AVG_old,TMIN_AVG_old,PRCP_MAX_old,SNOW_MAX_old,TAVG_MAX_old,TMAX_MAX_old,TMIN_MAX_old,PRCP_MIN_old,SNOW_MIN_old,TAVG_MIN_old,TMAX_MIN_old,TMIN_MIN_old,PRCP_CNT_old,SNOW_CNT_old,PRCP_CHG_old,SNOW_CHG_old,TMAX_CHG_old,TMIN_CHG_old,TAVG_CHG_old,PRCP_AVG,SNOW_AVG,TAVG_AVG,TMAX_AVG,TMIN_AVG,PRCP_MAX,SNOW_MAX,TAVG_MAX,TMAX_MAX,TMIN_MAX,PRCP_MIN,SNOW_MIN,TAVG_MIN,TMAX_MIN,TMIN_MIN,PRCP_CHG,SNOW_CHG,TMAX_CHG,TMIN_CHG,TAVG_CHG,PRCP_CNT,SNOW_CNT,PRCP_max_yoy,SNOW_max_yoy,TMAX_max_yoy,TMIN_max_yoy,TAVG_max_yoy,TAVG_avg_yoy,TMIN_avg_yoy,TMAX_avg_yoy,PRCP_min_yoy,SNOW_min_yoy,TMAX_min_yoy,TMIN_min_yoy,TAVG_min_yoy,PRCP_CNT_yoy,SNOW_CNT_yoy,PRCP_CHG_yoy,SNOW_CHG_yoy,TMAX_CHG_yoy,TMIN_CHG_yoy,TAVG_CHG_yoy
0,18.907876532389917,3.0272008540140734,62.41076066258191,136.84322384418073,9.618175466904223,339.2106074733334,111.91075365933334,305.23326230000004,358.3521879466667,206.29887809999997,0.0,-0.0136831276,-212.764863304,-145.71484274733334,-253.3603297046667,3461.733333333333,1508.6666666666667,339.2106074733334,111.92443678693333,504.06703069400004,459.6592078046666,517.9981256039999,21.39430669553018,3.5811040924331516,59.46811109358483,133.69262535024453,11.65188435106504,338.0482093933333,127.90543135733334,263.06527772000004,345.7914657533332,193.9845286533333,0.0,0.0,-222.2687098846667,-153.39533777066666,-266.98825081933336,338.0482093933333,127.90543135733334,499.186803524,460.97277947266673,485.3339876046667,3492.4666666666667,1472.9333333333334,-1.1623980799999876,15.994677698000004,-12.56072219333334,-12.314349446666673,-42.16798458000001,-2.9426495689970924,2.0337088841608173,-3.150598493936201,0.0,0.0136831276,-7.680495023333333,-13.627921114666663,-9.503846580666675,30.733333333333334,-35.733333333333334,-1.1623980799999876,15.980994570400005,-4.880227169999989,1.313571667999986,-32.66413799933335
1,10.907070031083313,2.099049044102745,80.28002038332245,194.24192996325073,38.17845766033525,285.1040198333333,167.23705186,363.97045656666666,457.8703035333333,315.17368430000005,0.0,0.0,-134.07994152333333,-33.184202713333335,-182.58119893333333,3400.6666666666665,1270.0,285.1040198333333,167.23705186,491.0545062466667,497.7548832333334,498.05039809000004,11.324413539419936,2.5538008235091283,76.58689969423376,188.2778483106233,33.86068818260051,306.3742706666667,168.0895119,262.24716276666663,356.11218733333334,253.6273998,0.0,0.0,-189.9333495,-86.19456343833333,-227.3403376,306.3742706666667,168.0895119,442.30675077166666,480.9677374,452.18051226666665,3338.3333333333335,1204.6666666666667,21.270250833333353,0.8524600399999827,-101.75811619999998,-61.546284500000006,-101.72329380000001,-3.69312068908868,-4.317769477734735,-5.964081652627375,0.0,0.0,-53.010360725,-44.75913866666668,-55.85340797666667,-62.333333333333336,-65.33333333333333,21.270250833333353,0.8524600399999827,-48.747755474999984,-16.78714583333334,-45.86988582333337
2,32.88543668473677,0.7237285222977485,151.564614651233,210.34017693563598,89.71630236891468,686.2483194272727,100.03420329240907,315.82914532390913,375.6091653360909,239.22279619127275,0.0010330578636363636,-0.003992629,-93.81844823537273,-43.46913637217819,-153.04723409466362,3238.181818181818,484.77272727272725,686.2472863694092,100.03819592140907,419.0783017082691,392.2700302859364,409.64759355928186,35.431615290160515,1.014424626274048,155.0392779256225,211.90317602700634,92.99116186837244,788.5529469170909,130.65277956428454,310.53195812688597,383.2256745749091,242.11141006427277,0.0012644627972727275,0.0,-111.8884221341296,-64.88725272970456,-169.94365522407273,788.5516824542938,130.65277956428454,448.1129273046136,412.05506528834553,422.4203802610154,3421.03,482.89090909090913,144.129708876,31.34117713078182,7.616509238818183,2.8886138730000006,-5.378260530560919,3.436625561838278,3.274859499457742,1.5629990913704477,0.00021074377636363654,0.004349978774545455,-21.41811635752636,-16.89642112940909,-18.162273747988397,47.393636363636354,-38.5,144.12949813222363,31.336827152007285,29.034625596344537,19.7850350024091,12.784013217427486
3,33.76013666601361,3.7574374753207143,102.57807400093579,153.32310225501536,41.53907141946126,747.9523887454544,317.6376474818182,345.2641414181818,350.9374362181818,230.28069745454542,0.0,-0.009090909090909092,-176.44708625454544,-131.90136461545453,-227.68779045454548,2997.4545454545455,835.7272727272727,747.9523887454544,317.6467383909091,482.83880083363624,457.9684879090908,521.7112276727272,34.49580863572596,4.1034822846977645,108.86783111136498,156.79298149897812,46.28564528130072,1017.5800007000001,416.4827302727272,292.56680151586073,359.1782218272727,229.85733410909089,0.0,0.0,-169.07117036205028,-129.32251755727273,-238.87946720000002,1017.5800007000001,416.4827302727272,488.5007393845454,468.73680130909094,461.63797187791096,3103.3636363636365,835.5454545454545,269.62761195454544,98.8450827909091,8.240785609090908,-0.4233633454545508,-60.80467325609284,2.4859858553075997,4.746573861839461,3.46987924396273,0.0,0.009090909090909092,2.578847058181813,-11.191676745454544,-1.8540690306576442,105.9090909090909,-0.18181818181818182,269.62761195454544,98.83599188181819,5.661938550909094,10.768313399999995,-58.95060422543521
