,State,date,metric_name,metric_value,var4
267521,OK,19910805,TMAX,365.2340425531915,1448.1914893617022
267522,OK,19910805,TMIN,213.91489361702128,1448.1914893617022
267530,OK,19910806,PRCP,2.005649717514124,761.5384615384615
267532,OK,19910806,SNOW,0.0,
267535,OK,19910806,TMAX,367.20212765957444,1458.8297872340424
267536,OK,19910806,TMIN,222.7157894736842,1451.8947368421052
267543,OK,19910807,PRCP,2.6779661016949152,761.5384615384615
267545,OK,19910807,SNOW,0.0,
267548,OK,19910807,TMAX,367.21276595744683,1458.8297872340424
267549,OK,19910807,TMIN,223.81052631578947,1451.8947368421052
267559,OK,19910808,PRCP,3.278409090909091,761.9047619047619
267561,OK,19910808,SNOW,0.0,
267564,OK,19910808,TMAX,372.1489361702128,1448.1914893617022
267565,OK,19910808,TMIN,224.79787234042553,1448.1914893617022
267577,OK,19910809,PRCP,30.70056497175141,768.0473372781065
267579,OK,19910809,SNOW,0.0,
267582,OK,19910809,TMAX,340.48936170212767,1458.8297872340424
267583,OK,19910809,TMIN,201.17894736842106,1451.8947368421052
267590,OK,19910810,PRCP,0.28651685393258425,767.6470588235294
267592,OK,19910810,SNOW,0.0,
267595,OK,19910810,TMAX,304.0430107526882,1455.1612903225807
267596,OK,19910810,TMIN,176.06451612903226,1455.1612903225807
267603,OK,19910811,PRCP,0.1853932584269663,767.6470588235294
267605,OK,19910811,SNOW,0.0,
267608,OK,19910811,TMAX,313.2282608695652,1463.3695652173913
267609,OK,19910811,TMIN,173.4673913043478,1463.3695652173913
267621,OK,19910812,PRCP,10.264044943820224,767.6470588235294
267623,OK,19910812,SNOW,0.0,
267626,OK,19910812,TMAX,317.2315789473684,1451.8947368421052
267627,OK,19910812,TMIN,192.58947368421053,1451.8947368421052
267637,OK,19910813,PRCP,49.668539325842694,767.6470588235294
267639,OK,19910813,SNOW,0.0,
267642,OK,19910813,TMAX,289.96774193548384,1466.989247311828
267643,OK,19910813,TMIN,187.3404255319149,1458.8297872340424
267654,OK,19910814,PRCP,97.48587570621469,768.0473372781065
267656,OK,19910814,SNOW,0.0,
267659,OK,19910814,TMAX,284.5851063829787,1448.1914893617022
