State,date,metric_name,metric_value
AK,20170101,PRCP,6.710344828
AK,20170101,SNOW,2.7
AK,20170101,TAVG,-59.43023256
AK,20170101,TMAX,-25.496
AK,20170101,TMIN,-97.084
AK,20170102,PRCP,6.340277778
AK,20170102,SNOW,0.927536232
AK,20170102,TAVG,-72.67105263
AK,20170102,TMAX,-48.56086957
AK,20170102,TMIN,-108.9869565
AK,20170103,PRCP,6.173611111
AK,20170103,SNOW,2.457142857
AK,20170103,TAVG,-72.76470588
AK,20170103,TMAX,-50.86637931
AK,20170103,TMIN,-118.737069
AK,20170104,PRCP,9.87755102
AK,20170104,SNOW,14.68055556
AK,20170104,TAVG,-77.95333333
AK,20170104,TMAX,-46.34782609
AK,20170104,TMIN,-125.5173913
AK,20170105,PRCP,10.39310345
AK,20170105,SNOW,21.92957746
AK,20170105,TAVG,-109.7972973
AK,20170105,TMAX,-49.85840708
AK,20170105,TMIN,-157.9070796
AK,20170106,PRCP,0.696551724
AK,20170106,SNOW,1.463768116
AK,20170106,TAVG,-174.9352941
AK,20170106,TMAX,-113.5502008
AK,20170106,TMIN,-204.9196787
AK,20170107,PRCP,0.4
AK,20170107,SNOW,0
AK,20170107,TAVG,-175.9764706
AK,20170107,TMAX,-132.9032258
AK,20170107,TMIN,-207.5443548
AK,20170108,PRCP,0.34965035
AK,20170108,SNOW,0
AK,20170108,TAVG,-155.0639535
AK,20170108,TMAX,-120.7991968
AK,20170108,TMIN,-185.6907631
AK,20170109,PRCP,0.176056338
AK,20170109,SNOW,0
AK,20170109,TAVG,-150.9186047
AK,20170109,TMAX,-118.6666667
AK,20170109,TMIN,-178.3212851
AK,20170110,PRCP,0.020689655
AK,20170110,SNOW,0.071428571
AK,20170110,TAVG,-150.4470588
AK,20170110,TMAX,-115.1325301
AK,20170110,TMIN,-182.1044177
AK,20170111,PRCP,1.579310345
AK,20170111,SNOW,2.114285714
AK,20170111,TAVG,-160
AK,20170111,TMAX,-115.0321285
AK,20170111,TMIN,-200.9196787
AK,20170112,PRCP,6.544827586
AK,20170112,SNOW,9.471428571
AK,20170112,TAVG,-183.5535714
AK,20170112,TMAX,-136.5731707
AK,20170112,TMIN,-211.2723577
AK,20170113,PRCP,43.38297872
AK,20170113,SNOW,20.63235294
AK,20170113,TAVG,-166.9583333
AK,20170113,TMAX,-123.4526749
AK,20170113,TMIN,-200.8477366
AK,20170114,PRCP,83.7862069
AK,20170114,SNOW,71.79166667
AK,20170114,TAVG,-145.1420118
AK,20170114,TMAX,-102.9227642
AK,20170114,TMIN,-183.3495935
AK,20170115,PRCP,30.02797203
AK,20170115,SNOW,24.16176471
AK,20170115,TAVG,-206.7916667
AK,20170115,TMAX,-142.7439024
AK,20170115,TMIN,-232.3617886
AK,20170116,PRCP,79.72413793
AK,20170116,SNOW,69.96
AK,20170116,TAVG,-209.4907975
AK,20170116,TMAX,-165.2272727
AK,20170116,TMIN,-229.2024793
AK,20170117,PRCP,31.45517241
AK,20170117,SNOW,40.86486486
AK,20170117,TAVG,-252.0060606
AK,20170117,TMAX,-191.0901639
AK,20170117,TMIN,-275.0491803
AK,20170118,PRCP,3.149659864
AK,20170118,SNOW,3.180555556
AK,20170118,TAVG,-283.7560976
AK,20170118,TMAX,-230.3811475
AK,20170118,TMIN,-304.3868313
AK,20170119,PRCP,7.945578231
AK,20170119,SNOW,10.25
AK,20170119,TAVG,-274.7654321
AK,20170119,TMAX,-220.8921162
AK,20170119,TMIN,-308.6680498
AK,20170120,PRCP,25.56643357
AK,20170120,SNOW,11.77464789
AK,20170120,TAVG,-220.6341463
AK,20170120,TMAX,-174.3319502
AK,20170120,TMIN,-272.9709544
AK,20170121,PRCP,33.75862069
AK,20170121,SNOW,49.57534247
AK,20170121,TAVG,-230.40625
AK,20170121,TMAX,-179.5021097
AK,20170121,TMIN,-252.6371308
AK,20170122,PRCP,9.256944444
AK,20170122,SNOW,19.7260274
AK,20170122,TAVG,-244.23125
AK,20170122,TMAX,-195.2278481
AK,20170122,TMIN,-266.2362869
AK,20170123,PRCP,30.1048951
AK,20170123,SNOW,23.95890411
AK,20170123,TAVG,-189.382716
AK,20170123,TMAX,-138.8410042
AK,20170123,TMIN,-243.9414226
AK,20170124,PRCP,51.88888889
AK,20170124,SNOW,21.02857143
AK,20170124,TAVG,-121.3841463
AK,20170124,TMAX,-91.1375
AK,20170124,TMIN,-161.8083333
AK,20170125,PRCP,51.99300699
AK,20170125,SNOW,8.724637681
AK,20170125,TAVG,-84.26380368
AK,20170125,TMAX,-54.92946058
AK,20170125,TMIN,-120.7883817
AK,20170126,PRCP,88.65972222
AK,20170126,SNOW,7.714285714
AK,20170126,TAVG,-48.20238095
AK,20170126,TMAX,-16.46747967
AK,20170126,TMIN,-86.21544715
AK,20170127,PRCP,43.17931034
AK,20170127,SNOW,4.695652174
AK,20170127,TAVG,-52.5739645
AK,20170127,TMAX,-19.08906883
AK,20170127,TMIN,-85.58704453
AK,20170128,PRCP,45.87412587
AK,20170128,SNOW,33.26470588
AK,20170128,TAVG,-73.76785714
AK,20170128,TMAX,-36.69512195
AK,20170128,TMIN,-106.6910569
AK,20170129,PRCP,20.3028169
AK,20170129,SNOW,33.44927536
AK,20170129,TAVG,-98.64705882
AK,20170129,TMAX,-55.90650407
AK,20170129,TMIN,-136.097561
AK,20170130,PRCP,15.47586207
