State,Cluster
AK,1
AL,3
AR,3
AZ,2
CA,1
CO,2
CT,0
DC,3
DE,0
FL,3
GA,3
HI,3
IA,3
ID,1
IL,3
IN,3
KS,3
KY,3
LA,3
MA,0
MD,0
ME,0
MI,1
MN,1
MO,3
MS,3
MT,1
NC,3
ND,1
NE,1
NH,0
NJ,0
NM,2
NV,1
NY,0
OH,3
OK,3
OR,1
PA,3
RI,0
SC,3
SD,1
TN,3
TX,3
UT,1
VA,3
VT,0
WA,1
WI,3
WV,3
WY,1
